Implementation,Length,Dyadic Order,Run,Result
Improved,128,1,5,0.04416751499957172
Improved,128,1,6,0.045345825999902445
Improved,128,1,7,0.04439227100010612
Improved,128,1,8,0.045789624000462936
Improved,128,1,9,0.04564366999875347
Improved,128,1,10,0.04467662699971697
Improved,128,1,11,0.04674540700034413
Improved,128,1,12,0.04467068899975857
Improved,128,1,13,0.04358399800003099
Improved,128,1,14,0.04697359000056167
Improved,128,1,15,0.04654125199886039
Improved,128,1,16,0.04790966900145577
Improved,128,1,17,0.04588044800038915
Improved,128,1,18,0.04363519399885263
Improved,128,1,19,0.04747265399964817
Improved,128,1,20,0.04597086500143632
Improved,128,1,21,0.046192989000701346
Improved,128,1,22,0.04354941999918083
Improved,128,1,23,0.043757256000390043
Improved,128,1,24,0.04484621200026595
Improved,128,1,25,0.046345378999831155
Improved,128,1,26,0.04599827800120693
Improved,128,1,27,0.04548683299981349
Improved,128,1,28,0.04381717199976265
Improved,128,1,29,0.04465254099886806
Improved,128,1,30,0.04595024499940337
Improved Alt,128,1,1,0.0453502659984224
Improved Alt,128,1,2,0.04487914500168699
Improved Alt,128,1,3,0.04473984200012637
Improved Alt,128,1,4,0.04402826399928017
Improved Alt,128,1,5,0.045535514000221156
Improved Alt,128,1,6,0.05082307000157016
Improved Alt,128,1,7,0.04568325099899084
Improved Alt,128,1,8,0.04703176200018788
Improved Alt,128,1,9,0.04367902800004231
Improved Alt,128,1,10,0.04540804600037518
Improved Alt,128,1,11,0.04393053500098176
Improved Alt,128,1,12,0.04521508600009838
Improved Alt,128,1,13,0.04459292299907247
Improved Alt,128,1,14,0.04462318799960485
Improved Alt,128,1,15,0.046811086000161595
Improved Alt,128,1,16,0.04611029399893596
Improved Alt,128,1,17,0.045936741000332404
Improved Alt,128,1,18,0.046006150001630886
Improved Alt,128,1,19,0.04968494399872725
Improved Alt,128,1,20,0.0456966290003038
Improved Alt,128,1,21,0.046223166998970555
Improved Alt,128,1,22,0.04597470400040038
Improved Alt,128,1,23,0.04937392200008617
Improved Alt,128,1,24,0.04427915899941581
Improved Alt,128,1,25,0.043637450000460376
Improved Alt,128,1,26,0.046390800998779014
Improved Alt,128,1,27,0.04821485100001155
Improved Alt,128,1,28,0.046183397998902365
Improved Alt,128,1,29,0.045790805999786244
Improved Alt,128,1,30,0.04690696299985575
Baseline,256,1,1,0.20826449299966043
Baseline,256,1,2,0.19697954100047355
Baseline,256,1,3,0.19941426200057322
Baseline,256,1,4,0.18438504299956548
Baseline,256,1,5,0.1952310540000326
Baseline,256,1,6,0.19281747999957588
Baseline,256,1,7,0.2019638749989099
Baseline,256,1,8,0.18563673499920696
Baseline,256,1,9,0.18727730300088297
Baseline,256,1,10,0.19055273000049056
Baseline,256,1,11,0.19316414599961718
Baseline,256,1,12,0.18452572400019562
Baseline,256,1,13,0.18782971200016618
Baseline,256,1,14,0.18750544099930266
Baseline,256,1,15,0.19416331299908052
Baseline,256,1,16,0.20821735200115654
Baseline,256,1,17,0.20948900700022932
Baseline,256,1,18,0.21808257999873604
Baseline,256,1,19,0.20220409800094785
Baseline,256,1,20,0.18921326599956956
Baseline,256,1,21,0.2029259329992783
Baseline,256,1,22,0.1967074140011391
Baseline,256,1,23,0.2019137219995173
Baseline,256,1,24,0.1950237470009597
Baseline,256,1,25,0.22569795299932593
Baseline,256,1,26,0.2198675199997524
Baseline,256,1,27,0.22879506800018135
Baseline,256,1,28,0.2096610860007786
Baseline,256,1,29,0.20416845900035696
Baseline,256,1,30,0.20047920100114425
Improved,256,1,1,0.04493706499852124
Improved,256,1,2,0.08513052200032689
Improved,256,1,3,0.0889987470000051
Improved,256,1,4,0.08905046099971514
Improved,256,1,5,0.08924348399887094
Improved,256,1,6,0.08898231100101839
Improved,256,1,7,0.08913140100048622
Improved,256,1,8,0.08907693400033168
Improved,256,1,9,0.08927421000043978
Improved,256,1,10,0.08912101299938513
Improved,256,1,11,0.08901503999913984
Improved,256,1,12,0.0890716079993581
Improved,256,1,13,0.08913509800004249
Improved,256,1,14,0.08908262700060732
Improved,256,1,15,0.08905022300132259
Improved,256,1,16,0.08913971999936621
Improved,256,1,17,0.08930572099961864
Improved,256,1,18,0.08911156700014544
Improved,256,1,19,0.08914328400169325
Improved,256,1,20,0.08914835099858465
Improved,256,1,21,0.08914093200110074
Improved,256,1,22,0.08911026999885507
Improved,256,1,23,0.08913595500052907
Improved,256,1,24,0.08923269900151354
Improved,256,1,25,0.08916782199958107
Improved,256,1,26,0.08899476199985656
Improved,256,1,27,0.0891420959997049
Improved,256,1,28,0.08908241800054384
Improved,256,1,29,0.08908198000062839
Improved,256,1,30,0.08911204100149916
Improved Alt,256,1,1,0.08786171000065224
Improved Alt,256,1,2,0.09037832699868886
Improved Alt,256,1,3,0.09037468600035936
Improved Alt,256,1,4,0.0903669710005488
Improved Alt,256,1,5,0.0904200810000475
Improved Alt,256,1,6,0.09042611400036549
Improved Alt,256,1,7,0.0903835449989856
Improved Alt,256,1,8,0.09037790599904838
Improved Alt,256,1,9,0.09040147299856471
Improved Alt,256,1,10,0.0904012450009759
Improved Alt,256,1,11,0.09049881600003573
Improved Alt,256,1,12,0.0903361529999529
Improved Alt,256,1,13,0.09042935500110616
Improved Alt,256,1,14,0.09030724500007636
Improved Alt,256,1,15,0.09038343599968357
Improved Alt,256,1,16,0.09045230499941681
Improved Alt,256,1,17,0.09034164399963629
Improved Alt,256,1,18,0.0903652550005063
Improved Alt,256,1,19,0.09040748500046902
Improved Alt,256,1,20,0.09040655199896719
Improved Alt,256,1,21,0.0903589160006959
Improved Alt,256,1,22,0.09039983000002394
Improved Alt,256,1,23,0.09054099800050608
Improved Alt,256,1,24,0.09025392900002771
Improved Alt,256,1,25,0.09031108300041524
Improved Alt,256,1,26,0.09039638599824684
Improved Alt,256,1,27,0.09040884699970775
Improved Alt,256,1,28,0.09041351199994097
Improved Alt,256,1,29,0.09039803700034099
Improved Alt,256,1,30,0.09033225799976208
Baseline,511,1,1,0.5247402410004725
Baseline,511,1,2,0.46912516500015045
Baseline,511,1,3,0.46268897099980677
Baseline,511,1,4,0.4715499459998682
Baseline,511,1,5,0.48443006300112756
Baseline,511,1,6,0.47139978500126745
Baseline,511,1,7,0.4796212170003855
Baseline,511,1,8,0.476874759000566
Baseline,511,1,9,0.4905917460000637
Baseline,511,1,10,0.4888703340002394
Baseline,511,1,11,0.4940425339991634
Baseline,511,1,12,0.49805932299932465
Baseline,511,1,13,0.49069241600045643
Baseline,511,1,14,0.4755131660003826
Baseline,511,1,15,0.4759413020001375
Baseline,511,1,16,0.48264086400013184
Baseline,511,1,17,0.4863500669998757
Baseline,511,1,18,0.4679322360007063
Baseline,511,1,19,0.4831906039999012
Baseline,511,1,20,0.4706674569988536
Baseline,511,1,21,0.47423262700067426
Baseline,511,1,22,0.4715280510008597
Baseline,511,1,23,0.4793364239994844
Baseline,511,1,24,0.4663957550001214
Baseline,511,1,25,0.4650146380008664
Baseline,511,1,26,0.4727872679995926
Baseline,511,1,27,0.47579106999910437
Baseline,511,1,28,0.46129550999830826
Baseline,511,1,29,0.46679630399921734
Baseline,511,1,30,0.47583980600029463
Improved,511,1,1,0.14510496799994144
Improved,511,1,2,0.3125994050005829
Improved,511,1,3,0.31253685300180223
Improved,511,1,4,0.3124275720001606
Improved,511,1,5,0.3125144320001709
Improved,511,1,6,0.3124984679998306
Improved,511,1,7,0.3125069779998739
Improved,511,1,8,0.3125037350000639
Improved,511,1,9,0.3125697850009601
Improved,511,1,10,0.31252161500015063
Improved,511,1,11,0.3128272089998063
Improved,511,1,12,0.31282210199969995
Improved,511,1,13,0.3127327210004296
Improved,511,1,14,0.3125036170004023
Improved,511,1,15,0.3135447739987285
Improved,511,1,16,0.3136201039997104
Improved,511,1,17,0.3135607180010993
Improved,511,1,18,0.3136156359996676
Improved,511,1,19,0.3135288840003341
Improved,511,1,20,0.3136387470003683
Improved,511,1,21,0.31349914300153614
Improved,511,1,22,0.313643276998846
Improved,511,1,23,0.31372713500059035
Improved,511,1,24,0.3136841119994642
Improved,511,1,25,0.31335546700029226
Improved,511,1,26,0.31378706699979375
Improved,511,1,27,0.3134372490003443
Improved,511,1,28,0.31362174099922413
Improved,511,1,29,0.3135418239999126
Improved,511,1,30,0.3136633140002232
Improved Alt,511,1,1,0.31377729599989834
Improved Alt,511,1,2,0.31686219400035043
Improved Alt,511,1,3,0.3168885679988307
Improved Alt,511,1,4,0.317291794999619
Improved Alt,511,1,5,0.3169492840006569
Improved Alt,511,1,6,0.3171175580009731
Improved Alt,511,1,7,0.31688945299902116
Improved Alt,511,1,8,0.3168355489997339
Improved Alt,511,1,9,0.3172415259996342
Improved Alt,511,1,10,0.31679386899850215
Improved Alt,511,1,11,0.3168248969996057
Improved Alt,511,1,12,0.3170829930004402
Improved Alt,511,1,13,0.31702168800075015
Improved Alt,511,1,14,0.31682265699964773
Improved Alt,511,1,15,0.31701552100093977
Improved Alt,511,1,16,0.31679035699926317
Improved Alt,511,1,17,0.3181040510007733
Improved Alt,511,1,18,0.31739946300149313
Improved Alt,511,1,19,0.3182776859994192
Improved Alt,511,1,20,0.318388634999792
Improved Alt,511,1,21,0.31832819800001744
Improved Alt,511,1,22,0.3182804850002867
Improved Alt,511,1,23,0.3183505220004008
Improved Alt,511,1,24,0.31839320300059626
Improved Alt,511,1,25,0.3183946660010406
Improved Alt,511,1,26,0.3183754780002346
Improved Alt,511,1,27,0.3186428649987647
Improved Alt,511,1,28,0.31858692599962524
Improved Alt,511,1,29,0.3182352820003871
Improved Alt,511,1,30,0.3184417430002213
