Implementation,Length,Dyadic Order,Run,Result
Baseline,512,0,17,0.46503709699936735
Baseline,512,0,18,0.4555571830005647
Baseline,512,0,19,0.46294617199964705
Baseline,512,0,20,0.46319916200081934
Baseline,512,0,21,0.4664313929988566
Baseline,512,0,22,0.47006850899924757
Baseline,512,0,23,0.465926214999854
Baseline,512,0,24,0.4613510260005569
Baseline,512,0,25,0.46884737300024426
Baseline,512,0,26,0.4606971560006059
Baseline,512,0,27,0.4550713509997877
Baseline,512,0,28,0.4629518889996689
Baseline,512,0,29,0.4675611660004506
Baseline,512,0,30,0.45780292299969005
Improved,512,0,1,0.13987566899959347
Improved,512,0,2,0.30168499600040377
Improved,512,0,3,0.3017519530003483
Improved,512,0,4,0.301729515000261
Improved,512,0,5,0.3016909289999603
Improved,512,0,6,0.30183514100099273
Improved,512,0,7,0.30165067899906717
Improved,512,0,8,0.30163601800086326
Improved,512,0,9,0.3016930419998971
Improved,512,0,10,0.3017503110004327
Improved,512,0,11,0.30173157600074774
Improved,512,0,12,0.30176446799850964
Improved,512,0,13,0.301817851001033
Improved,512,0,14,0.30186795000008715
Improved,512,0,15,0.30236963700008346
Improved,512,0,16,0.3028997599994909
Improved,512,0,17,0.30222463100108143
Improved,512,0,18,0.30244081300043035
Improved,512,0,19,0.302208947001418
Improved,512,0,20,0.3023659209993639
Improved,512,0,21,0.3023201159994642
Improved,512,0,22,0.30213078500128177
Improved,512,0,23,0.30230960300104925
Improved,512,0,24,0.3022333010012517
Improved,512,0,25,0.30231130700121867
Improved,512,0,26,0.30222328699892387
Improved,512,0,27,0.3022087490007834
Improved,512,0,28,0.3023963420000655
Improved,512,0,29,0.30228034900028433
Improved,512,0,30,0.3024085589986498
Improved Alt,512,0,1,0.30270935499902407
Improved Alt,512,0,2,0.30601591899903724
Improved Alt,512,0,3,0.30585924699880707
Improved Alt,512,0,4,0.30597892600053456
Improved Alt,512,0,5,0.30594922700038296
Improved Alt,512,0,6,0.3059748280011263
Improved Alt,512,0,7,0.30591754899978696
Improved Alt,512,0,8,0.3061475140002585
Improved Alt,512,0,9,0.30595655599972815
Improved Alt,512,0,10,0.3059322789995349
Improved Alt,512,0,11,0.30590858799951093
Improved Alt,512,0,12,0.3063717449986143
Improved Alt,512,0,13,0.3070924900002865
Improved Alt,512,0,14,0.3067918120013928
Improved Alt,512,0,15,0.3067207200001576
Improved Alt,512,0,16,0.30690318400047545
Improved Alt,512,0,17,0.30677183700026944
Improved Alt,512,0,18,0.3070285529993271
Improved Alt,512,0,19,0.30673828900035005
Improved Alt,512,0,20,0.30688280899994425
Improved Alt,512,0,21,0.3068240259999584
Improved Alt,512,0,22,0.30675570300081745
Improved Alt,512,0,23,0.3069380840006488
Improved Alt,512,0,24,0.3069437329995708
Improved Alt,512,0,25,0.3068861179999658
Improved Alt,512,0,26,0.3067022209997958
Improved Alt,512,0,27,0.30683996500010835
Improved Alt,512,0,28,0.30696820900084276
Improved Alt,512,0,29,0.30683268800021324
Improved Alt,512,0,30,0.30682154900023306
Baseline,1023,0,1,1.6329738109998289
Baseline,1023,0,2,1.4667099729995243
Baseline,1023,0,3,1.472186925000642
Baseline,1023,0,4,1.4833271269999386
Baseline,1023,0,5,1.4775247399993532
Baseline,1023,0,6,1.4799616549989878
Baseline,1023,0,7,1.4822605760000442
Baseline,1023,0,8,1.476575941000192
Baseline,1023,0,9,1.4849205520004034
Baseline,1023,0,10,1.4890087220010173
Baseline,1023,0,11,1.4854269480001676
Baseline,1023,0,12,1.4832783129986638
Baseline,1023,0,13,1.481526360999851
Baseline,1023,0,14,1.485165643000073
Baseline,1023,0,15,1.4746886320008343
Baseline,1023,0,16,1.4865541750004923
Baseline,1023,0,17,1.4809022829995229
Baseline,1023,0,18,1.4818208109991247
Baseline,1023,0,19,1.4845979710007668
Baseline,1023,0,20,1.4872632999995403
Baseline,1023,0,21,1.4898154559996328
Baseline,1023,0,22,1.4852524790003372
Baseline,1023,0,23,1.4819262159999198
Baseline,1023,0,24,1.484201490000487
Baseline,1023,0,25,1.4863963919997332
Baseline,1023,0,26,1.486028889001318
Baseline,1023,0,27,1.4790987550004502
Baseline,1023,0,28,1.4828496009995433
Baseline,1023,0,29,1.4863993179988029
Baseline,1023,0,30,1.4915549790002842
Improved,1023,0,1,0.5463457129990275
Improved,1023,0,2,1.1788832340007502
Improved,1023,0,3,1.1789592060013092
Improved,1023,0,4,1.1779467169999407
Improved,1023,0,5,1.1780481999994663
Improved,1023,0,6,1.1784302430005482
Improved,1023,0,7,1.1782008800000767
Improved,1023,0,8,1.1778796239996154
Improved,1023,0,9,1.178034069000205
Improved,1023,0,10,1.1783153889991809
Improved,1023,0,11,1.1785030070004723
Improved,1023,0,12,1.178358399998615
Improved,1023,0,13,1.1783147679998365
Improved,1023,0,14,1.1782794419996208
Improved,1023,0,15,1.1783708629991452
Improved,1023,0,16,1.1779665560006833
Improved,1023,0,17,1.178316392999477
Improved,1023,0,18,1.1783469330002845
Improved,1023,0,19,1.1782648290009092
Improved,1023,0,20,1.178302985999835
Improved,1023,0,21,1.1780834159999358
Improved,1023,0,22,1.1781684180004959
Improved,1023,0,23,1.1783047920016543
Improved,1023,0,24,1.1785736120000365
Improved,1023,0,25,1.178383805001431
Improved,1023,0,26,1.1784261769989826
Improved,1023,0,27,1.178477767000004
Improved,1023,0,28,1.1789335989997198
Improved,1023,0,29,1.1785151189997123
Improved,1023,0,30,1.1799063390008087
Improved Alt,1023,0,1,1.1810564400002477
Improved Alt,1023,0,2,1.1883776459999353
Improved Alt,1023,0,3,1.1878823960014415
Improved Alt,1023,0,4,1.1887066989984305
Improved Alt,1023,0,5,1.1881251360009628
Improved Alt,1023,0,6,1.187894618999053
Improved Alt,1023,0,7,1.1882118870016711
Improved Alt,1023,0,8,1.187994117000926
Improved Alt,1023,0,9,1.1886727519995475
Improved Alt,1023,0,10,1.187731640999118
Improved Alt,1023,0,11,1.1882799030008755
Improved Alt,1023,0,12,1.1887817210008507
Improved Alt,1023,0,13,1.188590137000574
Improved Alt,1023,0,14,1.1881402880007954
Improved Alt,1023,0,15,1.1887425120003172
Improved Alt,1023,0,16,1.1879046550002386
Improved Alt,1023,0,17,1.1881465240003308
Improved Alt,1023,0,18,1.188647458999185
Improved Alt,1023,0,19,1.1887541160012915
Improved Alt,1023,0,20,1.1886510080003063
Improved Alt,1023,0,21,1.1886105120011052
Improved Alt,1023,0,22,1.188323402999231
Improved Alt,1023,0,23,1.189811993001058
Improved Alt,1023,0,24,1.1876175249999505
Improved Alt,1023,0,25,1.1882355960005953
Improved Alt,1023,0,26,1.1883678710000822
Improved Alt,1023,0,27,1.1886300850001135
Improved Alt,1023,0,28,1.1886397050002415
Improved Alt,1023,0,29,1.1881593720008823
Improved Alt,1023,0,30,1.1885211939988949
